bike_rider,zipcode,ebike_rider,by_public,by_car,by_bike,by_ebike,by_walking,no_commute,miles,try_bike,ebike_class,private_locker,group_locker,locker,ebike_rules,safty,interested
no,92009,no,0,1,0.0,0,0,0,15,maybe,yes,,,somewhat,very,somewhat,yes
no,nan,no,1,1,0.0,0,1,0,25,no,no,,,somewhat,don't know,not concerned,maybe
yes,92122,no,1,0,0.0,0,1,0,,maybe,no,,,not very,not very,somewhat,maybe
no,92122,no,0,1,0.0,0,0,0,5,maybe,no,,,not very,don't know,very,no
no,92009,no,0,1,0.0,0,0,0,20,maybe,a bit,,,somewhat,very,somewhat,
yes,92122,nan,0,0,0.0,0,0,0,,,nan,,,,nan,,
yes,nan,nan,0,0,0.0,0,0,0,,,nan,,,,nan,,
no,nan,nan,0,0,0.0,0,0,0,,,nan,,,,nan,,
no,92010,no,1,0,0.0,0,0,0,35,no,no,,,don’t know,not very,somewhat,maybe
no,92122,no,1,1,0.0,0,1,0,2,maybe,no,,,very,somewhat,very,maybe
yes,92092,no,1,0,1.0,1,0,0,6,yes,a bit,,,not very,somewhat,not very,yes
yes,05753,no,0,1,0.0,0,0,0,10,yes,no,,,somewhat,not very,not concerned,yes
no,92131,no,0,1,0.0,0,1,0,10,no,no,,,very,don't know,not very,no
yes,92037,yes,1,0,0.0,1,1,0,3,yes,no,,,not very,somewhat,not concerned,no
yes,92037,no,0,1,0.0,0,0,0,5,maybe,no,,,somewhat,not very,somewhat,yes
no,95616,no,1,0,0.0,0,0,0,,maybe,no,,,somewhat,not very,very,maybe
no,92122,no,1,0,0.0,0,0,0,4,maybe,no,,,somewhat,don't know,somewhat,maybe
no,92092,no,0,0,0.0,0,1,0,0,yes,no,,,don’t know,don't know,not concerned,maybe
yes,94702,no,0,0,1.0,0,0,0,0,yes,yes,,,very,somewhat,somewhat,yes
yes,92014,yes,0,1,0.0,0,0,0,8,no,a bit,,,somewhat,very,very,maybe
yes,92024,no,0,1,0.0,0,0,0,8,yes,yes,,,very,very,not very,no
no,92122,no,1,0,0.0,0,0,0,,yes,no,,,don’t know,somewhat,somewhat,yes
yes,nan,no,0,0,0.0,0,0,0,0,maybe,no,,,somewhat,somewhat,somewhat,no
yes,92122,no,0,0,0.0,0,0,0,,,nan,,,,nan,,
yes,92122,no,1,0,0.0,0,0,0,,maybe,no,,,not very,don't know,no opinion,no
yes,80026,no,1,1,1.0,0,1,0,2,no,yes,,,very,very,somewhat,no
no,92121,yes,1,0,0.0,0,0,0,2,maybe,no,,,somewhat,not very,not concerned,no
no,92122,no,0,1,0.0,0,0,0,3,maybe,no,,,very,somewhat,somewhat,no
no,94583,no,0,0,0.0,0,0,1,,maybe,no,,,not very,don't know,no opinion,maybe
no,92111,no,1,1,0.0,0,0,0,20,no,no,,,don’t know,not very,not concerned,maybe
no,94583,no,0,0,0.0,0,0,1,1,maybe,no,,,somewhat,very,no opinion,no
no,92113,no,0,1,0.0,0,0,0,15,no,no,,,don’t know,don't know,no opinion,no
no,92122,no,0,1,0.0,0,0,0,,maybe,no,,,somewhat,don't know,somewhat,yes
no,92648,yes,0,1,0.0,0,0,0,,yes,no,,,somewhat,somewhat,somewhat,maybe
yes,92646,no,1,0,1.0,0,1,0,2,yes,no,,,somewhat,not very,not very,yes
yes,92092,no,0,0,0.0,0,1,0,,maybe,no,,,somewhat,not very,not very,no
yes,92092,no,1,0,0.0,0,1,0,1,maybe,no,,,very,somewhat,no opinion,no
yes,92092,no,0,0,0.0,0,1,0,40,yes,no,,,very,not very,not very,no
yes,92117,yes,1,1,0.0,0,0,0,6,maybe,no,,,somewhat,not very,not concerned,maybe
yes,95062,yes,0,0,0.0,0,0,1,2,maybe,yes,,,very,very,not very,yes
yes,90277,no,1,0,0.0,0,1,0,1,yes,no,,,very,not very,somewhat,yes
yes,nan,nan,0,0,0.0,0,0,0,,,nan,,,,nan,,
