bike_rider,zipcode,ebike_rider,by_public,by_car,by_bike,by_ebike,by_walking,no_commute,miles,try_bike,ebike_class,private_locker,group_locker,locker,ebike_rules,safty,interested,label
no,92107,no,1,1,0.0,0,0,0,30.0,maybe,no,very,very,,somewhat,very,no,4
yes,92122,no,1,1,0.0,1,1,0,10.0,maybe,a bit,,,very,very,not very,yes,4
yes,92084,no,0,0,0.0,0,0,1,0.0,maybe,a bit,,,somewhat,,,,1
no,92009,no,0,1,0.0,0,0,0,15.0,maybe,yes,,,somewhat,very,somewhat,yes,0
yes,92122,no,1,0,0.0,0,1,0,,maybe,no,,,not very,not very,somewhat,maybe,4
no,92122,no,0,1,0.0,0,0,0,5.0,maybe,no,,,not very,don't know,very,no,4
no,92009,no,0,1,0.0,0,0,0,20.0,maybe,a bit,,,somewhat,very,somewhat,,0
yes,92122,,0,0,0.0,0,0,0,,,,,,,,,,4
no,92010,no,1,0,0.0,0,0,0,35.0,no,no,,,don’t know,not very,somewhat,maybe,0
no,92122,no,1,1,0.0,0,1,0,2.0,maybe,no,,,very,somewhat,very,maybe,4
yes,92092,no,1,0,1.0,1,0,0,6.0,yes,a bit,,,not very,somewhat,not very,yes,NaN
yes,5753,no,0,1,0.0,0,0,0,10.0,yes,no,,,somewhat,not very,not concerned,yes,NaN
no,92131,no,0,1,0.0,0,1,0,10.0,no,no,,,very,don't know,not very,no,0
yes,92037,yes,1,0,0.0,1,1,0,3.0,yes,no,,,not very,somewhat,not concerned,no,0
yes,92037,no,0,1,0.0,0,0,0,5.0,maybe,no,,,somewhat,not very,somewhat,yes,0
no,95616,no,1,0,0.0,0,0,0,,maybe,no,,,somewhat,not very,very,maybe,NaN
no,92122,no,1,0,0.0,0,0,0,4.0,maybe,no,,,somewhat,don't know,somewhat,maybe,4
no,92092,no,0,0,0.0,0,1,0,0.0,yes,no,,,don’t know,don't know,not concerned,maybe,NaN
yes,94702,no,0,0,1.0,0,0,0,0.0,yes,yes,,,very,somewhat,somewhat,yes,NaN
yes,92014,yes,0,1,0.0,0,0,0,8.0,no,a bit,,,somewhat,very,very,maybe,NaN
yes,92024,no,0,1,0.0,0,0,0,8.0,yes,yes,,,very,very,not very,no,0
no,92122,no,1,0,0.0,0,0,0,,yes,no,,,don’t know,somewhat,somewhat,yes,4
yes,92122,no,0,0,0.0,0,0,0,,,,,,,,,,4
yes,92122,no,1,0,0.0,0,0,0,,maybe,no,,,not very,don't know,no opinion,no,4
yes,80026,no,1,1,1.0,0,1,0,2.0,no,yes,,,very,very,somewhat,no,NaN
no,92121,yes,1,0,0.0,0,0,0,2.0,maybe,no,,,somewhat,not very,not concerned,no,4
no,92122,no,0,1,0.0,0,0,0,3.0,maybe,no,,,very,somewhat,somewhat,no,4
no,94583,no,0,0,0.0,0,0,1,,maybe,no,,,not very,don't know,no opinion,maybe,NaN
no,92111,no,1,1,0.0,0,0,0,20.0,no,no,,,don’t know,not very,not concerned,maybe,1
no,94583,no,0,0,0.0,0,0,1,1.0,maybe,no,,,somewhat,very,no opinion,no,NaN
no,92113,no,0,1,0.0,0,0,0,15.0,no,no,,,don’t know,don't know,no opinion,no,3
no,92122,no,0,1,0.0,0,0,0,,maybe,no,,,somewhat,don't know,somewhat,yes,4
no,92648,yes,0,1,0.0,0,0,0,,yes,no,,,somewhat,somewhat,somewhat,maybe,NaN
yes,92646,no,1,0,1.0,0,1,0,2.0,yes,no,,,somewhat,not very,not very,yes,NaN
yes,92092,no,0,0,0.0,0,1,0,,maybe,no,,,somewhat,not very,not very,no,NaN
yes,92092,no,1,0,0.0,0,1,0,1.0,maybe,no,,,very,somewhat,no opinion,no,NaN
yes,92092,no,0,0,0.0,0,1,0,40.0,yes,no,,,very,not very,not very,no,NaN
yes,92117,yes,1,1,0.0,0,0,0,6.0,maybe,no,,,somewhat,not very,not concerned,maybe,1
yes,95062,yes,0,0,0.0,0,0,1,2.0,maybe,yes,,,very,very,not very,yes,NaN
yes,90277,no,1,0,0.0,0,1,0,1.0,yes,no,,,very,not very,somewhat,yes,NaN
yes,92612,yes,0,1,0.0,1,1,0,5.0,yes,yes,,,don’t know,very,somewhat,,NaN
no,93117,no,0,0,0.0,0,0,0,,,,,,,,,,NaN
no,91748,no,0,0,0.0,0,1,0,,,,,,,,,,NaN
yes,92119,no,0,0,0.0,0,0,1,5.0,maybe,a bit,,,very,somewhat,somewhat,,0
yes,92109,no,0,1,,0,0,0,10.0,,no,,,very,somewhat,,yes,4
no,92103,no,0,1,,0,0,0,5.0,,a bit,,,not very,not very,,maybe,4
no,92114,no,0,1,,0,0,0,12.0,,no,,,very,don't know,,maybe,3
yes,92109,no,0,1,,0,0,0,50.0,,no,,,very,somewhat,,yes,4
yes,92109,no,0,1,,0,0,0,20.0,,no,,,somewhat,not very,,yes,4
yes,92116,yes,1,0,,1,0,0,3.0,,yes,,,very,very,,maybe,4
yes,92013,no,0,0,,1,0,0,5.0,,yes,,,very,somewhat,,yes,NaN
no,92114,no,0,1,,0,0,0,5.0,,no,,,somewhat,somewhat,,maybe,3
yes,92102,yes,0,0,,1,0,0,70.0,,a bit,,,very,very,,yes,3
yes,92116,no,0,0,,0,0,1,0.0,,no,,,very,not very,,maybe,4
yes,92102,yes,1,1,,0,0,0,30.0,,no,,,somewhat,somewhat,,yes,3
yes,92104,no,0,1,,0,0,0,10.0,,no,,,very,somewhat,,yes,4
yes,92115,no,0,0,,0,0,1,0.0,,yes,,,very,somewhat,,yes,3
no,92009,no,0,0,,0,0,1,0.0,,no,,,somewhat,don't know,,no,0
yes,92139,no,0,1,,0,0,0,10.0,,yes,,,somewhat,very,,yes,3
no,92122,no,0,0,,0,0,1,0.0,,no,,,very,don't know,,yes,4
yes,92020,no,0,1,,0,0,0,40.0,,no,,,somewhat,don't know,,yes,3
