Zipcode,Population,Land Area (Sq. Miles),Population Density (People per Square Mile),Median Age,Population By Age % (Under 18 Years),Population By Age % (18 to 34),Population By Age % (35 to 64),Population By Age % (65 and Over),Male %,White %,Black %,Asian %,Hispanic %,Other %,Less Than High School %,High School Grad or Higher %,Bachelor's Degree or Higher %,Media Household Income $,Gini Index,Unemployed % ,Poverty %,Average Commute to Work (min),Drove Alone %,Carpooled %,Public Transit %,Motorcycle %,Bicycle %,Walked %,Other %.1,Worked at Home %,Health Insurance Coverage %,Married %,Median House Value $,label
92136,48867.0,5.2,9391.52,36.8,23.39,23.35,39.69,13.58,49.55,29.95,4.62,32.15,26.97,6.31,13.55,86.45,44.85,131879.0,0.4,3.41,7.34,31.0,70.94,9.78,3.06,0.13,0.15,1.07,0.99,13.88,96.48,54.49,897500.0,2
92139,35364.0,3.58,9884.41,35.8,23.72,25.39,37.42,13.47,49.21,11.58,12.73,29.48,38.34,7.87,13.73,86.27,22.87,80594.0,0.39,6.66,7.76,27.0,77.26,10.7,2.72,0.78,0.23,0.74,1.15,6.42,91.83,46.87,466100.0,0
91901,18367.0,77.87,235.86,41.8,21.99,19.91,40.99,17.11,50.05,75.81,0.95,2.86,15.73,4.65,5.41,94.59,33.46,105679.0,0.43,6.87,8.83,30.0,85.02,5.85,0.55,0.0,0.0,0.82,0.34,7.42,95.17,59.32,644200.0,6
91906,4547.0,105.15,43.24,33.8,33.03,18.01,34.35,14.6,60.26,58.52,2.05,0.22,30.99,8.22,17.46,82.54,11.66,49191.0,0.42,6.45,27.77,47.0,79.46,7.77,0.0,0.0,0.0,0.19,1.86,10.72,90.08,48.47,282800.0,0
91916,1966.0,61.9,31.76,54.1,19.07,20.3,38.0,22.63,54.37,78.38,0.61,0.15,14.09,6.77,7.76,92.24,22.3,109861.0,0.45,0.58,6.17,33.0,73.77,10.39,0.0,0.0,0.0,0.0,0.82,15.02,90.59,58.24,479600.0,6
91917,769.0,51.84,14.83,32.4,43.69,7.02,49.28,0.0,43.56,47.72,1.69,7.41,39.92,3.26,12.5,87.5,33.17,82586.0,0.44,1.59,41.22,51.0,60.36,14.29,8.21,0.0,0.0,1.43,0.0,15.71,91.68,46.93,433300.0,0
91935,9450.0,105.49,89.59,47.6,21.7,17.23,38.7,22.37,51.08,69.42,0.91,2.03,25.52,2.12,8.05,91.95,35.12,114746.0,0.41,4.57,4.54,38.0,79.39,10.9,0.34,0.61,0.0,0.32,0.29,8.15,94.64,66.02,681300.0,6
91941,33858.0,8.22,4117.31,40.5,20.69,22.52,39.12,17.66,47.84,55.33,6.31,5.28,27.41,5.67,4.67,95.33,44.59,100224.0,0.42,6.24,8.34,26.0,76.07,8.31,1.41,0.43,0.23,1.39,0.26,11.89,95.95,54.06,684900.0,2
91942,40863.0,5.77,7081.73,36.0,19.55,28.59,36.98,14.89,45.88,57.31,6.8,6.76,23.56,5.57,7.2,92.8,38.34,72145.0,0.45,7.18,12.87,26.0,76.11,7.53,3.29,0.25,0.34,0.93,1.35,10.2,93.92,40.19,578600.0,0
91945,27685.0,3.95,7003.7,35.7,23.2,25.61,37.89,13.29,49.53,27.47,15.16,8.39,43.7,5.28,15.69,84.31,20.08,71294.0,0.39,8.05,8.69,28.0,74.71,10.32,3.23,0.52,0.12,0.67,0.57,9.86,92.96,45.82,478800.0,0
91962,2507.0,58.66,42.73,46.9,22.9,19.47,34.34,23.29,51.78,65.02,1.24,1.04,27.08,5.62,3.61,96.39,46.31,138775.0,0.32,16.65,0.6,24.0,71.42,1.22,0.0,0.0,0.0,3.84,0.0,23.52,98.46,73.16,433300.0,2
91977,65722.0,9.92,6626.67,35.2,24.73,24.75,37.44,13.08,50.0,27.8,13.15,7.85,45.89,5.31,12.28,87.72,25.31,76902.0,0.41,8.86,11.99,29.0,77.35,10.52,2.43,0.21,0.44,0.46,1.25,7.34,91.09,46.86,493000.0,0
91978,10979.0,11.94,919.55,37.0,23.23,24.63,39.24,12.91,49.84,39.8,15.17,6.16,31.72,7.15,8.23,91.77,26.38,82885.0,0.42,6.57,17.64,25.0,84.51,3.29,0.32,2.42,0.0,0.39,0.0,9.07,90.87,46.83,454100.0,0
92019,45694.0,31.73,1440.0,39.4,22.47,20.75,38.76,18.02,48.59,68.07,2.16,2.94,20.23,6.6,7.99,92.01,34.18,89937.0,0.44,6.47,10.28,29.0,77.22,9.58,0.61,0.08,0.16,1.06,1.06,10.23,96.15,52.74,576700.0,6
